product_line,product_name,benefits,price,country
SKIN CAVIAR,LUXE CREAM,"FIRMING,LIFTING,NOURISHING",595.0,us
SKIN CAVIAR,THE MIST,"HYDRATING,REFRESHING,SMOOTHING",185.0,us
SKIN CAVIAR,LIQUID LIFT,"FIRMING,LIFTING,SMOOTHING",785.0,us
SKIN CAVIAR,EYE LIFT,"ANTI-WRINKLES,FIRMING,LIFTING",570.0,us
PLATINUM RARE,HAUTE-REJUVENATION ELIXIR,"FIRMING,LIFTING,REJUVENATING",1460.0,us
SKIN CAVIAR,LUXE CREAM SHEER,"FIRMING,LIFTING,NOURISHING",595.0,us
SKIN CAVIAR,FACE AND EYE LIMITED EDITION SET,"FIRMING,LIFTING,NOURISHING",1065.0,us
WHITE CAVIAR,ESSENTIALS LIMITED EDITION SET,"BRIGHTENING,FIRMING,HYDRATING",1610.0,us
PLATINUM RARE,HAUTE-REJUVENATION CREAM,"FIRMING,REJUVENATING,SMOOTHING",1690.0,us
SKIN CAVIAR,LUXE EYE CREAM,"FIRMING,LIFTING,NOURISHING",435.0,us
SKIN CAVIAR,NIGHTTIME OIL,"ANTI-WRINKLES,FIRMING,NOURISHING",580.0,us
PLATINUM RARE,CELLULAR NIGHT ELIXIR,"FIRMING,REJUVENATING,SMOOTHING",1460.0,us
WHITE CAVIAR,PEARL INFUSION,"BRIGHTENING,EVEN-SKIN,FIRMING",770.0,us
LA PRAIRIE,FOAM CLEANSER,"PURIFYING,REFRESHING",100.0,us
WHITE CAVIAR,CRÈME EXTRAORDINAIRE,"BRIGHTENING,FIRMING,HYDRATING",840.0,us
SKIN CAVIAR,ESSENCE-IN-LOTION,"FIRMING,HYDRATING",320.0,us
PLATINUM RARE,HAUTE-REJUVENATION MASK REPLENISHMENT,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",1570.0,us
SKIN CAVIAR,ESSENCE-IN-LOTION 250 ML DEVOTEE EDITION,"FIRMING,HYDRATING",475.0,us
SKIN CAVIAR,NIGHT INDULGENCE ONLINE EXCLUSIVE,"FIRMING,NOURISHING,SOOTHING",625.0,us
PLATINUM RARE,HAUTE-REJUVENATION EYE CREAM,"FIRMING,REJUVENATING,SMOOTHING",1090.0,us
PLATINUM RARE,HAUTE-REJUVENATION EYE ELIXIR,"LIFTING,REJUVENATING",1090.0,us
SKIN CAVIAR,HARMONY L'EXTRAIT,"ANTI-WRINKLES,LIFTING,VOLUME-ENHANCING",860.0,us
PURE GOLD,RADIANCE CREAM REPLENISHMENT,"NOURISHING,REVITALISING",840.0,us
CELLULAR SWISS UV,PROTECTION VEIL SUNSCREEN,"EVEN-SKIN,UV-PROTECTION",235.0,us
SKIN CAVIAR,LUXE SLEEP MASK,"FIRMING,SMOOTHING",445.0,us
PLATINUM RARE,HAUTE-REJUVENATION MASK,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",1740.0,us
PLATINUM RARE,HAUTE-REJUVENATION PROTOCOL,"FIRMING,REJUVENATING,VOLUME-ENHANCING",2180.0,us
PLATINUM RARE,EYE CARE LIMITED EDITION SET PLATINUM RARE,"LIFTING,REJUVENATING,SMOOTHING",2180.0,us
SKIN CAVIAR,ABSOLUTE FILLER,"FIRMING,NOURISHING,VOLUME-ENHANCING",725.0,us
CELLULAR,SOFTENING AND BALANCING LOTION,"HYDRATING,SOOTHING",215.0,us
SKIN CAVIAR,EYE CARE LIMITED EDITION SET SKIN CAVIAR,"FIRMING,LIFTING,SOOTHING",665.0,us
PURE GOLD,RADIANCE CREAM,"NOURISHING,REVITALISING,SMOOTHING",935.0,us
CELLULAR,3-MINUTE PEEL,"AHA,EXFOLIATING,REFINING",285.0,us
WHITE CAVIAR,ESSENCE EXTRAORDINAIRE,"BRIGHTENING,FIRMING,REFINING",460.0,us
CELLULAR,REFINING LOTION,"REFINING,REFRESHING",130.0,us
ESSENCE OF SKIN CAVIAR,EYE COMPLEX,"FIRMING,HYDRATING,SOOTHING",175.0,us
WHITE CAVIAR,EYE EXTRAORDINAIRE,"BRIGHTENING,DARK-CIRCLES,FIRMING",630.0,us
PURE GOLD,RADIANCE NOCTURNAL BALM,"NOURISHING,REJUVENATING,REVITALISING",1025.0,us
PLATINUM RARE,CELLULAR LIFE-LOTION,"REFINING,REJUVENATING,SMOOTHING",765.0,us
SKIN CAVIAR,EYE EXPERT ONLINE EXCLUSIVE,"ANTI-WRINKLES,FIRMING,LIFTING",745.0,us
PURIFYING,CREAM CLEANSER,"HYDRATING,SOOTHING",100.0,us
CELLULAR,MINERAL FACE EXFOLIATOR,"EXFOLIATING,PURIFYING",165.0,us
CELLULAR,HAND CREAM,HYDRATING,140.0,us
PURE GOLD,RADIANCE EYE CREAM,"ANTI-PUFFINESS,NOURISHING,REVITALISING",700.0,us
PURE GOLD,RADIANCE CONCENTRATE,"NOURISHING,REFINING,REVITALISING",935.0,us
PURE GOLD,RADIANCE NOCTURNAL BALM REPLENISHMENT,"NOURISHING,REJUVENATING,REVITALISING",925.0,us
CELLULAR,HYDRALIFT FIRMING MASK,"FIRMING,HYDRATING,SOOTHING",215.0,us
PURE GOLD,RADIANCE CONCENTRATE REPLENISHMENT,"NOURISHING,REFINING,REVITALISING",840.0,us
CELLULAR,ENERGIZING MIST,REFRESHING,175.0,us
LA PRAIRIE,CRYSTAL MICELLAR WATER EYES FACE,SOOTHING,155.0,us
LA PRAIRIE,SUPREME BALM CLEANSER,SOOTHING,180.0,us
PURE GOLD,RADIANCE EYE CREAM REPLENISHMENT,"ANTI-PUFFINESS,NOURISHING,REVITALISING",630.0,us
SKIN CAVIAR,VANITY TRAY LIMITED EDITION,"FIRMING,LIFTING,NOURISHING",1990.0,us
PURE GOLD,LUXURY RITUAL,"NOURISHING,REVITALISING,SMOOTHING",2570.0,us
SKIN CAVIAR,RESCULPTING LIMITED EDITION SET,"ANTI-WRINKLES,LIFTING,NOURISHING",1490.0,us
PLATINUM RARE,HAUTE-REJUVENATION CREAM,"FIRMING,REJUVENATING,SMOOTHING",1743.75,gb
SKIN CAVIAR,LUXE CREAM,"FIRMING,LIFTING,NOURISHING",625.0,gb
SKIN CAVIAR,LIQUID LIFT,"FIRMING,LIFTING,SMOOTHING",806.25,gb
PLATINUM RARE,HAUTE-REJUVENATION ELIXIR,"FIRMING,LIFTING,REJUVENATING",1506.25,gb
SKIN CAVIAR,THE MIST,"HYDRATING,REFRESHING,SMOOTHING",187.5,gb
PLATINUM RARE,HAUTE-REJUVENATION PROTOCOL,"FIRMING,REJUVENATING,VOLUME-ENHANCING",2250.0,gb
SKIN CAVIAR,LUXE EYE CREAM,"FIRMING,LIFTING,NOURISHING",437.5,gb
PURE GOLD,RADIANCE CREAM,"NOURISHING,REVITALISING,SMOOTHING",950.0,gb
SKIN CAVIAR,LUXE CREAM SHEER,"FIRMING,LIFTING,NOURISHING",625.0,gb
SKIN CAVIAR,HARMONY L'EXTRAIT,"ANTI-WRINKLES,LIFTING,VOLUME-ENHANCING",868.75,gb
WHITE CAVIAR,CRÈME EXTRAORDINAIRE,"BRIGHTENING,FIRMING,HYDRATING",856.25,gb
WHITE CAVIAR,ESSENTIALS LIMITED EDITION SET,"BRIGHTENING,FIRMING,HYDRATING",1603.75,gb
WHITE CAVIAR,PEARL INFUSION,"BRIGHTENING,EVEN-SKIN,FIRMING",768.75,gb
LA PRAIRIE,FOAM CLEANSER,"PURIFYING,REFRESHING",100.0,gb
WHITE CAVIAR,EYE EXTRAORDINAIRE,"BRIGHTENING,DARK-CIRCLES,FIRMING",625.0,gb
SKIN CAVIAR,NIGHT INDULGENCE ONLINE EXCLUSIVE,"FIRMING,NOURISHING,SOOTHING",618.75,gb
CELLULAR,REFINING LOTION,"REFINING,REFRESHING",131.25,gb
PLATINUM RARE,HAUTE-REJUVENATION EYE CREAM,"FIRMING,REJUVENATING,SMOOTHING",1125.0,gb
SKIN CAVIAR,ESSENCE-IN-LOTION,"FIRMING,HYDRATING",318.75,gb
CELLULAR SWISS UV,PROTECTION VEIL SUNSCREEN,"EVEN-SKIN,UV-PROTECTION",237.5,gb
PURE GOLD,RADIANCE NOCTURNAL BALM REPLENISHMENT,"NOURISHING,REJUVENATING,REVITALISING",943.75,gb
SKIN CAVIAR,LUXE SLEEP MASK,"FIRMING,SMOOTHING",462.5,gb
PURE GOLD,RADIANCE CREAM REPLENISHMENT,"NOURISHING,REVITALISING",856.25,gb
ESSENCE OF SKIN CAVIAR,EYE COMPLEX,"FIRMING,HYDRATING,SOOTHING",162.5,gb
SKIN CAVIAR,ABSOLUTE FILLER,"FIRMING,NOURISHING,VOLUME-ENHANCING",762.5,gb
PURE GOLD,RADIANCE EYE CREAM,"ANTI-PUFFINESS,NOURISHING,REVITALISING",718.75,gb
PURE GOLD,RADIANCE EYE CREAM REPLENISHMENT,"ANTI-PUFFINESS,NOURISHING,REJUVENATING",643.75,gb
CELLULAR,MINERAL FACE EXFOLIATOR,"EXFOLIATING,PURIFYING",168.75,gb
LA PRAIRIE,CRYSTAL MICELLAR WATER EYES FACE,SOOTHING,156.25,gb
CELLULAR,HYDRALIFT FIRMING MASK,"FIRMING,HYDRATING,SOOTHING",218.75,gb
LA PRAIRIE,SUPREME BALM CLEANSER,SOOTHING,181.25,gb
CELLULAR,SOFTENING AND BALANCING LOTION,"HYDRATING,SOOTHING",218.75,gb
CELLULAR,HAND CREAM,HYDRATING,143.75,gb
PURIFYING,CREAM CLEANSER,"HYDRATING,SMOOTHING",106.25,gb
PLATINUM RARE,HAUTE-REJUVENATION MASK,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",1731.25,gb
PLATINUM RARE,CELLULAR NIGHT ELIXIR,"FIRMING,REJUVENATING,SMOOTHING",1506.25,gb
PLATINUM RARE,CELLULAR LIFE-LOTION,"REFINING,REJUVENATING,SMOOTHING",793.75,gb
PLATINUM RARE,HAUTE-REJUVENATION EYE ELIXIR,"LIFTING,REJUVENATING",1125.0,gb
PURE GOLD,RADIANCE CONCENTRATE,"NOURISHING,REFINING,REVITALISING",950.0,gb
SKIN CAVIAR,EYE EXPERT ONLINE EXCLUSIVE,"ANTI-WRINKLES,FIRMING,LIFTING",781.25,gb
SKIN CAVIAR,NIGHTTIME OIL,"ANTI-WRINKLES,FIRMING,NOURISHING",606.25,gb
SKIN CAVIAR,VANITY TRAY LIMITED EDITION,"FIRMING,LIFTING,NOURISHING",2012.5,gb
SKIN CAVIAR,FACE AND EYE LIMITED EDITION SET,"FIRMING,LIFTING,NOURISHING",1063.75,gb
CELLULAR,ENERGIZING MIST,REFRESHING,181.25,gb
SKIN CAVIAR,ESSENCE-IN-LOTION 250 ML DEVOTEE EDITION,"FIRMING,HYDRATING",481.25,gb
PURE GOLD,RADIANCE NOCTURNAL BALM,"NOURISHING,REJUVENATING,REVITALISING",1050.0,gb
WHITE CAVIAR,ESSENCE EXTRAORDINAIRE,"BRIGHTENING,FIRMING,REFINING",456.25,gb
SKIN CAVIAR,EYE LIFT,"ANTI-WRINKLES,FIRMING,LIFTING",562.5,gb
SKIN CAVIAR,RESCULPTING LIMITED EDITION SET,"ANTI-WRINKLES,LIFTING,NOURISHING",1487.5,gb
SKIN CAVIAR,EYE CARE LIMITED EDITION SET SKIN CAVIAR,"FIRMING,LIFTING,SOOTHING",668.75,gb
PLATINUM RARE,EYE CARE LIMITED EDITION SET PLATINUM RARE,"LIFTING,REJUVENATING,SMOOTHING",2180.0,gb
PLATINUM RARE,HAUTE-REJUVENATION MASK REPLENISHMENT,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",1556.25,gb
CELLULAR,3-MINUTE PEEL,"AHA,EXFOLIATING,REFINING",287.5,gb
PURE GOLD,RADIANCE CONCENTRATE REPLENISHMENT,"NOURISHING,REFINING,REVITALISING",856.25,gb
PURE GOLD,RADIANCE CREAM REPLENISHMENT,"NOURISHING,REVITALISING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION ELIXIR,"FIRMING,LIFTING,REJUVENATING",0.0,hk
SKIN CAVIAR,NIGHTTIME OIL,"ANTI-WRINKLES,FIRMING,NOURISHING",0.0,hk
WHITE CAVIAR,CRÈME EXTRAORDINAIRE,"BRIGHTENING,FIRMING,HYDRATING",0.0,hk
SKIN CAVIAR,LUXE SLEEP MASK,"FIRMING,SMOOTHING",0.0,hk
ESSENCE OF SKIN CAVIAR,EYE COMPLEX,"FIRMING,HYDRATING,SOOTHING",0.0,hk
LA PRAIRIE,FOAM CLEANSER,"PURIFYING,REFRESHING",0.0,hk
CELLULAR,HAND CREAM,HYDRATING,0.0,hk
SKIN CAVIAR,LUXE EYE CREAM,"FIRMING,LIFTING,NOURISHING",0.0,hk
CELLULAR,SOFTENING AND BALANCING LOTION,"HYDRATING,SOOTHING",0.0,hk
PURIFYING,CREAM CLEANSER,"HYDRATING,SOOTHING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION EYE ELIXIR,"LIFTING,REJUVENATING",0.0,hk
SKIN CAVIAR,ESSENCE-IN-LOTION,"FIRMING,HYDRATING",0.0,hk
PLATINUM RARE,CELLULAR NIGHT ELIXIR,"FIRMING,REJUVENATING,SMOOTHING",0.0,hk
CELLULAR,HYDRALIFT FIRMING MASK,"FIRMING,HYDRATING,SOOTHING",0.0,hk
CELLULAR,ENERGIZING MIST,REFRESHING,0.0,hk
CELLULAR,MINERAL FACE EXFOLIATOR,"EXFOLIATING,PURIFYING",0.0,hk
CELLULAR SWISS UV,PROTECTION VEIL SUNSCREEN,"EVEN-SKIN,UV-PROTECTION",0.0,hk
PURE GOLD,RADIANCE EYE CREAM REPLENISHMENT,"ANTI-PUFFINESS,NOURISHING,REVITALISING",0.0,hk
PURE GOLD,RADIANCE CREAM,"NOURISHING,REVITALISING,SMOOTHING",0.0,hk
PURE GOLD,RADIANCE CONCENTRATE REPLENISHMENT,"NOURISHING,REFINING,REVITALISING",0.0,hk
PURE GOLD,RADIANCE EYE CREAM,"ANTI-PUFFINESS,NOURISHING,REVITALISING",0.0,hk
PURE GOLD,RADIANCE CONCENTRATE,"NOURISHING,REFINING,REVITALISING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION PROTOCOL,"FIRMING,REJUVENATING,VOLUME-ENHANCING",0.0,hk
PURE GOLD,RADIANCE NOCTURNAL BALM REPLENISHMENT,"NOURISHING,REJUVENATING,REVITALISING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION MASK,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION EYE CREAM,"FIRMING,REJUVENATING,SMOOTHING",0.0,hk
SKIN CAVIAR,LUXE CREAM SHEER,"FIRMING,LIFTING,NOURISHING",0.0,hk
WHITE CAVIAR,EYE EXTRAORDINAIRE,"BRIGHTENING,DARK-CIRCLES,FIRMING",0.0,hk
LA PRAIRIE,SUPREME BALM CLEANSER,SOOTHING,0.0,hk
SKIN CAVIAR,HARMONY L'EXTRAIT,"ANTI-WRINKLES,LIFTING,VOLUME-ENHANCING",0.0,hk
LA PRAIRIE,CRYSTAL MICELLAR WATER EYES FACE,SOOTHING,0.0,hk
SKIN CAVIAR,LUXE CREAM,"FIRMING,LIFTING,NOURISHING",0.0,hk
PLATINUM RARE,CELLULAR LIFE-LOTION,"REFINING,REJUVENATING,SMOOTHING",0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION CREAM,"FIRMING,REJUVENATING,SMOOTHING",0.0,hk
SKIN CAVIAR,ABSOLUTE FILLER,"FIRMING,NOURISHING,VOLUME-ENHANCING",0.0,hk
WHITE CAVIAR,ESSENCE EXTRAORDINAIRE,"BRIGHTENING,FIRMING,REFINING",0.0,hk
PURE GOLD,RADIANCE NOCTURNAL BALM,"NOURISHING,REJUVENATING,REVITALISING",0.0,hk
SKIN CAVIAR,LIQUID LIFT,"FIRMING,LIFTING,SMOOTHING",0.0,hk
SKIN CAVIAR,EYE LIFT,"ANTI-WRINKLES,FIRMING,LIFTING",0.0,hk
CELLULAR,3-MINUTE PEEL,AHA,0.0,hk
PLATINUM RARE,HAUTE-REJUVENATION MASK REPLENISHMENT,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",0.0,hk
WHITE CAVIAR,PEARL INFUSION,"BRIGHTENING,EVEN-SKIN,FIRMING",0.0,hk
